meter_name,read_at,unit,value
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,12/06/2020 00:00:00 +1000,kWh,22.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,13/06/2020 00:00:00 +1000,kWh,0.3
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,14/06/2020 00:00:00 +1000,kWh,1.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,15/06/2020 00:00:00 +1000,kWh,24.2
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,16/06/2020 00:00:00 +1000,kWh,19.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,17/06/2020 00:00:00 +1000,kWh,30.0
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,18/06/2020 00:00:00 +1000,kWh,24.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,19/06/2020 00:00:00 +1000,kWh,24.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,20/06/2020 00:00:00 +1000,kWh,19.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,21/06/2020 00:00:00 +1000,kWh,7.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,22/06/2020 00:00:00 +1000,kWh,37.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,23/06/2020 00:00:00 +1000,kWh,36.0
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,24/06/2020 00:00:00 +1000,kWh,39.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,25/06/2020 00:00:00 +1000,kWh,37.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,26/06/2020 00:00:00 +1000,kWh,26.0
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,27/06/2020 00:00:00 +1000,kWh,16.3
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,28/06/2020 00:00:00 +1000,kWh,12.3
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,29/06/2020 00:00:00 +1000,kWh,39.2
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,30/06/2020 00:00:00 +1000,kWh,28.0
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,01/07/2020 00:00:00 +1000,kWh,26.3
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,02/07/2020 00:00:00 +1000,kWh,27.4
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,03/07/2020 00:00:00 +1000,kWh,30.4
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,04/07/2020 00:00:00 +1000,kWh,21.1
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,05/07/2020 00:00:00 +1000,kWh,18.2
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,06/07/2020 00:00:00 +1000,kWh,34.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,07/07/2020 00:00:00 +1000,kWh,27.1
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,08/07/2020 00:00:00 +1000,kWh,17.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,09/07/2020 00:00:00 +1000,kWh,27.2
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,10/07/2020 00:00:00 +1000,kWh,36.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,11/07/2020 00:00:00 +1000,kWh,14.9
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,12/07/2020 00:00:00 +1000,kWh,20.1
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,13/07/2020 00:00:00 +1000,kWh,31.9
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,14/07/2020 00:00:00 +1000,kWh,26.4
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,15/07/2020 00:00:00 +1000,kWh,27.3
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,16/07/2020 00:00:00 +1000,kWh,26.4
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,17/07/2020 00:00:00 +1000,kWh,37.3
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,18/07/2020 00:00:00 +1000,kWh,14.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,19/07/2020 00:00:00 +1000,kWh,19.0
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,20/07/2020 00:00:00 +1000,kWh,27.1
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,21/07/2020 00:00:00 +1000,kWh,24.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,22/07/2020 00:00:00 +1000,kWh,27.2
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,23/07/2020 00:00:00 +1000,kWh,29.0
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,24/07/2020 00:00:00 +1000,kWh,33.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,25/07/2020 00:00:00 +1000,kWh,22.2
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,26/07/2020 00:00:00 +1000,kWh,19.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,27/07/2020 00:00:00 +1000,kWh,25.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,28/07/2020 00:00:00 +1000,kWh,20.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,29/07/2020 00:00:00 +1000,kWh,22.2
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,30/07/2020 00:00:00 +1000,kWh,21.4
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,31/07/2020 00:00:00 +1000,kWh,17.1
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,01/08/2020 00:00:00 +1000,kWh,2.3
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,02/08/2020 00:00:00 +1000,kWh,0.9
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,03/08/2020 00:00:00 +1000,kWh,29.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,04/08/2020 00:00:00 +1000,kWh,34.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,05/08/2020 00:00:00 +1000,kWh,29.9
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,06/08/2020 00:00:00 +1000,kWh,16.1
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,07/08/2020 00:00:00 +1000,kWh,17.4
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,08/08/2020 00:00:00 +1000,kWh,0.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,09/08/2020 00:00:00 +1000,kWh,12.9
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,10/08/2020 00:00:00 +1000,kWh,23.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,11/08/2020 00:00:00 +1000,kWh,22.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,12/08/2020 00:00:00 +1000,kWh,20.0
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,13/08/2020 00:00:00 +1000,kWh,25.1
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,14/08/2020 00:00:00 +1000,kWh,21.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,15/08/2020 00:00:00 +1000,kWh,2.9
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,16/08/2020 00:00:00 +1000,kWh,2.9
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,17/08/2020 00:00:00 +1000,kWh,25.3
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,18/08/2020 00:00:00 +1000,kWh,21.9
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,19/08/2020 00:00:00 +1000,kWh,26.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,20/08/2020 00:00:00 +1000,kWh,25.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,21/08/2020 00:00:00 +1000,kWh,27.9
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,22/08/2020 00:00:00 +1000,kWh,10.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,23/08/2020 00:00:00 +1000,kWh,0.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,24/08/2020 00:00:00 +1000,kWh,9.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,25/08/2020 00:00:00 +1000,kWh,46.4
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,26/08/2020 00:00:00 +1000,kWh,27.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,27/08/2020 00:00:00 +1000,kWh,26.3
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,28/08/2020 00:00:00 +1000,kWh,36.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,29/08/2020 00:00:00 +1000,kWh,9.4
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,30/08/2020 00:00:00 +1000,kWh,0.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,31/08/2020 00:00:00 +1000,kWh,31.4
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,01/09/2020 00:00:00 +1000,kWh,24.4
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,02/09/2020 00:00:00 +1000,kWh,32.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,03/09/2020 00:00:00 +1000,kWh,22.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,04/09/2020 00:00:00 +1000,kWh,36.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,05/09/2020 00:00:00 +1000,kWh,1.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,06/09/2020 00:00:00 +1000,kWh,1.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,07/09/2020 00:00:00 +1000,kWh,28.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,08/09/2020 00:00:00 +1000,kWh,20.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,09/09/2020 00:00:00 +1000,kWh,31.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,10/09/2020 00:00:00 +1000,kWh,26.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,11/09/2020 00:00:00 +1000,kWh,24.1
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,12/09/2020 00:00:00 +1000,kWh,0.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,13/09/2020 00:00:00 +1000,kWh,0.6
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,14/09/2020 00:00:00 +1000,kWh,27.7
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,15/09/2020 00:00:00 +1000,kWh,23.0
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,16/09/2020 00:00:00 +1000,kWh,25.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,17/09/2020 00:00:00 +1000,kWh,23.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,18/09/2020 00:00:00 +1000,kWh,25.2
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,19/09/2020 00:00:00 +1000,kWh,13.8
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,20/09/2020 00:00:00 +1000,kWh,1.5
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,21/09/2020 00:00:00 +1000,kWh,25.1
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,22/09/2020 00:00:00 +1000,kWh,25.4
Sub Meter - UBI: Building NP - NP1.119 (Tenant: Engineered to Slide) ,23/09/2020 00:00:00 +1000,kWh,25.8
